AreaCode,StoreName,StoreID
710006,B P STORE,S00339198
710006,MONAJ STORE,S00339204
710006,ZARDA HOUSE,S00339215
710006,BHARAT STORE,S00339218
710006,BASANA PAN GHAR,S00339221
710006,BHAGWANDAS RADHESHYAM,S00339230
710006,SURUCHI,S00339237
710006,NEW VERITY STORE,S00339240
710006,ASOKE HOTEL,S00339241
710006,NIRMAL PAN GHAR,S00339243
710006,ANJALI BHANDAR,S00339250
710006,MONOHARI BIPANI,S00339251
710006,BAISAKHI VERITY AND CATERER,S00339254
710006,MAA LAXMI BHANDAR,S00339257
710006,BABA LOKNATH SWEET,S00339258
710006,GANESH PRASAD,S00339259
710006,BELA BEKARY,S00339264
710006,RADHA GOBIND BHANDAR,S00339265
710006,AJAY PAN GHAR,S00339267
710006,BIPUL PAN GHAR,S00339270
710006,MONOROMA COMMUNICATION,S00339273
710006,MONISHA TEA STOLL,S00339276
710006,SOROJONI STORE,S00339278
710006,KAMALA STORE,S00339280
710006,PRABHU TELECOM,S00339281
710006,SRI GURU LAXMI BHANDAR,S00339284
710006,MOUCHAK SWEETS,S00339285
710006,TRIPTI FAST FOOD,S00339287
710006,MOHIT VARIETY,S00339288
710006,SRI SANKAR STORE,S00339289
710006,BISWASH  SONS,S00339293
710006,RADHA BALLAB STORE,S00339294
710006,SARKAR STORE,S00339296
710006,DHANLAXMI BHANDAR,S00339300
710006,MATRI BHANDAR,S00339301
710006,BASUDEV STORE,S00339308
710006,Kamna Store,S00339314
710006,Himul titly,S00339317
710006,MS GANDHESWARI ENTERPRISE,S00339318
710006,Devnath bhandar,S00339319
710006,Kundu bandar,S00339322
710006,Mohit trali like,S00339323
710006,ASHOK KUMAR PAUL,S00339332
710006,Kundu pan ghar,S00339334
710006,Manoka store,S00339335
710006,ANJALI BHANDARS,S00339337
710006,jyostna mayee store,S00339338
710006,Disha stores,S00339343
710006,The green music,S00339348
710006,Shiv bhandar,S00339350
710006,Love   Fine,S00339356
710006,T K Joy,S00339357
710006,Sima store,S00339358
710006,LOKNATH BHANDER,S00339359
710006,Banty shoppe,S00339362
710006,neeccssity enterprises,S00339363
710006,S  communication,S00339364
710006,poddar stores,S00339365
710006,SWARNO BHANDAR,S00339368
710006,nigam store,S00339371
710006,ANKUR PAN GHAR,S00339372
710006,PAUL VAREITY STORE,S00339375
710006,RENUKA BHANDER,S00339376
710006,PITRIMATRI GENERAL STORE,S00339377
710006,PRIYA BHANDER,S00339382
710006,Bhai bhai pan ghar,S00339384
710006,Netaji store,S00339387
710006,Haldar stores,S00339388
710006,JOYGURU BHANDER,S00339389
710006,Ghash bhandar,S00339390
710006,LOKENATH COMMUNICATION,S00339392
710006,Parna stores,S00339394
710006,New Basck stores,S00339395
710006,RAI BHANDER,S00339396
710006,SHREOSHI and SHOHELI VARITY STORE,S00339400
710006,BHARATI ENTERPRISE,S00339405
710006,NEW GANDESHARI STORE,S00339406
710006,Pal bhandar,S00339409
710006,Baba loknath enterprises,S00339410
710006,manju verity store,S00339412
710006,BABA LOKNATH BHANDER,S00339414
710006,sucharu store,S00339418
710006,RENU COMMUNICATION ,S00339420
710006,SRI GANESH UDYOG,S00339421
710006,KAR VARIETY STORE,S00339427
710006,SRI MAA STORE,S00339429
710006,SABITRI BHANDAR,S00339430
710006,LOKNATH STORE,S00339433
710006,RUBY VARIETY,S00339434
710006,PANCHAMAKHI BHANDAR,S00339441
710006,P P DEPARTMANTEL STORE,S00339444
710006,OLIS STORE,S00339445
710006,GITA TRADERS,S00339446
710006,SANIA STORE,S00339451
710006,BALAJI STORES,S00339452
710006,MOBILE THEATRE,S00339454
710006,PAUL COMMUNICTION,S00339456
710006,GITANJALI G STORE,S00339457
710006,JAI PAHARIMATA BHANDER,S00339460
710006,SAHA STORES,S00339470
710006,MANOJ PAN GHAR,S00339472
710006,VIRAT TELECOME,S00339476
710006,DUTTA VARITY STORE,S00339477
710006,MALLICK STORE,S00339490
710006,DAS STORES,S00339491
710006,BANIK STORE,S00339492
710006,RIMPA STORE,S00339493
710006,LOKNATH BHANDARS,S00339497
710006,MATRI BHANDARS,S00339501
710006,RAJ BHANDAR,S00339503
710006,SRI RAM PAN GHAR,S00339526
710006,JOYTI STORE,S00339581
710006,POPULAR STORE,S00339589
710006,BINA STORE,S00339594
710006,RAJ STORE,S00339606
710006,BALARAM GIFT HOUSE,S00339611
710006,MAA MANASHA BHANDAR,S00339614
710006,TAPASH PAN GHAR,S00339618
710006,P K SAHA,S00339642
710006,MAHAKALI STORE,S00339647
710006,GHOSH VARIETY STORES,S00339649
710006,GOPAL PAN GHAR,S00339657
710006,SANJAY RETAIL,S00339669
710006,BINITA STORES,S00339710
710006,JOYGURU BHANDERS,S00339713
710006,BABA LOKNATH DURBHAS KENDRA,S00339714
710006,H B ENTERPRISE,S00339717
710006,ASHIRBAD,S00339720
710006,PROVA RANI STORES,S00339724
710006,NABA LAXMI BHANDER,S00339726
710006,SARADAMONI BHANDER,S00339731
710006,N PAL CHOWDHURY,S00339732
710006,R C ENTERPRISE,S00339733
710006,GOPAL STORE,S00339739
710006,DILIP PAN GHARS,S00339743
710006,DHAKA STORES,S00339744
710006,NEPAL PAN GHAR,S00339745
710006,ARUN PAN GHAR,S00339746
710006,PRADIP BHANDER,S00339748
710006,ROY BROTHERS,S00339749
710006,MA TARA VARIETY STORES,S00339751
710006,PAUL BROTHERS,S00339752
710006,PAUL BHANDER,S00339754
710006,THAPA TELECOM,S00339757
710006,SYAMOLI VARITY STORE,S00339760
710006,LAXMI NARAYAN BHANDER,S00339761
710006,NEW VARIETY STORES,S00339762
710006,SADHANA STORES,S00339767
710006,AGNIBINA GROCERY STORES,S00339768
710006,GOPAL BHANDER,S00339769
710006,DIPAK BHANDER,S00339770
710006,MA DURGA STORES,S00339771
710006,PURNIMA BHANDER,S00339772
710006,RAM KRISHNA BHANDER,S00339774
710006,SHREE MANO TRADERS,S00339775
710006,PAUL STORES,S00339777
710006,VISHNU STORES,S00339778
710006,TAPAN PAN GHAR,S00339779
710006,BANGLA STORES,S00339780
710006,ASHIM BHANDER,S00339781
710006,GITANJALI STORES,S00339788
710006,GANESH BHANDER,S00339791
710006,JAY SHREE BHANDAR,S00339795
710006,GANESH PAN GHAR,S00339796
710006,RAHUL STORES,S00339798
710006,APOLO SAHA,S00339799
710006,COMILLA STORES,S00339800
710006,FOTICK STORE,S00339803
710006,PAUL STATIONERY,S00339804
710006,SEN STORES,S00339805
710006,D S PAN SHOP,S00339806
710006,SAGAR PAN SHOP,S00339808
710006,DATTA PAN GHAR,S00339809
710006,BIDHAN PAN GHAR,S00339810
710006,SATYAM,S00339812
710006,LOVE N FAIR,S00339820
710006,SUNNY,S00339822
710006,PANDIT HOTEL,S00339839
710006,SURABHI BEKARY,S00339840
710006,KHAN STORE,S00339848
710006,SAHA STORE,S00339860
710006,BISHNU STORE,S00339862
710006,KHOKHON PAN GHAR,S00339866
710006,NEW STYLE PAN GHAR,S00339874
710006,PIYALI PAN GHAR,S00339885
710006,ANIL BHANDAR,S00339893
710006,SHUBHU PAN GHAR,S00339910
710006,DILIP BHANDAR,S00339915
710006,PODDAR BHANDAR,S00339933
710006,MADHU MANDOL,S00339945
710006,DUTTA PAN GHAR,S00339972
710006,SHREE MAA STORE,S00339981
710006,PAWAN STORE,S00339983
710006,RIKTAAS VARIETIES,S00340009
710006,CHOUDHURY STORE,S00340012
710006,DISHYA STORE,S00340018
710006,RADHA STORE,S00340021
710006,JAYANTI PAN GHAR,S00340033
710006,PANDIT PAN GHAR,S00340035
710006,PAUL MISTHAN,S00340037
710006,SUMITRA STORE,S00340039
710006,MATHU PAN GHAR,S00340041
710006,RABI PAN GHAR,S00340042
